iter	Passed	Remaining
313	32936	176847
314	33040	176737
315	33142	176617
316	33243	176494
317	33344	176369
318	33443	176233
319	33547	176125
320	33649	176004
321	33757	175918
322	33864	175823
323	33969	175718
324	34073	175607
325	34180	175513
326	34284	175408
327	34393	175325
328	34500	175229
329	34606	175131
330	34709	175016
331	34813	174906
332	34922	174823
333	35028	174722
334	35132	174611
335	35238	174515
336	35347	174430
337	35451	174319
338	35557	174219
339	35661	174113
340	35764	173998
341	35875	173923
342	35981	173823
343	36088	173728
344	36205	173679
345	36310	173578
346	36418	173484
347	36519	173361
348	36631	173291
349	36743	173220
350	36847	173107
351	36952	173007
352	37056	172896
353	37157	172772
354	37259	172651
355	37358	172521
356	37457	172387
357	37557	172258
358	37659	172143
359	37761	172023
360	37869	171932
361	37973	171825
362	38074	171700
363	38174	171576
364	38278	171468
365	38383	171364
366	38487	171254
367	38591	171146
368	38693	171028
369	38798	170923
370	38902	170815
371	39005	170703
372	39113	170609
373	39218	170506
374	39321	170393
375	39428	170298
376	39531	170185
377	39635	170077
378	39737	169959
379	39842	169854
380	39946	169746
381	40056	169663
382	40172	169605
383	40277	169500
384	40383	169403
385	40486	169288
386	40590	169181
387	40696	169080
388	40805	168992
389	40926	168954
390	41029	168840
391	41130	168717
392	41231	168599
393	41331	168474
394	41436	168370
395	41536	168244
396	41638	168125
397	41737	167999
398	41840	167884
399	41943	167772
400	42046	167663
401	42153	167564
402	42256	167453
403	42360	167346
404	42478	167293
405	42594	167232
406	42713	167179
407	42831	167125
408	42951	167078
409	43056	166974
410	43170	166906
411	43275	166800
412	43387	166721
413	43506	166668
414	43615	166581
415	43721	166479
416	43823	166360
417	43927	166250
418	44034	166152
419	44142	166058
420	44245	165948
421	44347	165830
422	44452	165724
423	44554	165608
424	44657	165494
425	44757	165371
426	44858	165251
427	44959	165132
428	45064	165025
429	45163	164899
430	45265	164781
431	45365	164658
432	45465	164538
433	45566	164417
434	45666	164294
435	45767	164174
436	45872	164071
437	45978	163969
438	46088	163883
439	46192	163772
440	46296	163666
441	46404	163571
442	46511	163472
443	46617	163372
444	46724	163273
445	46833	163181
446	46943	163094
447	47052	163004
448	47156	162896
449	47263	162797
450	47367	162688
451	47473	162586
452	47579	162484
453	47685	162381
454	47786	162264
455	47892	162161
456	48002	162072
457	48107	161969
458	48211	161860
459	48314	161748
460	48416	161632
461	48520	161523
462	48625	161418
463	48729	161312
464	48835	161209
465	48940	161103
466	49041	160987
467	49144	160875
468	49246	160760
469	49347	160643
470	49457	160551
471	49559	160439
472	49662	160326
473	49764	160213
474	49871	160112
475	49975	160007
476	50079	159899
477	50185	159796
478	50303	159731
479	50408	159625
480	50513	159522
481	50619	159419
482	50727	159325
483	50837	159233
484	50948	159147
485	51054	159045
486	51160	158945
487	51264	158835
488	51381	158767
489	51486	158662
490	51591	158558
491	51696	158452
492	51804	158356
493	51920	158282
494	52023	158172
495	52124	158054
496	52226	157941
497	52327	157823
498	52429	157709
499	52530	157591
500	52632	157475
501	52732	157357
502	52834	157242
503	52938	157133
504	53041	157023
505	53143	156910
506	53244	156792
507	53347	156682
508	53449	156566
509	53561	156482
510	53664	156374
511	53767	156260
512	53872	156155
513	53976	156048
514	54084	155952
515	54192	155854
516	54299	155757
517	54417	155688
518	54526	155593
519	54634	155499
520	54743	155405
521	54852	155309
522	54960	155213
523	55065	155107
524	55171	155004
525	55276	154900
526	55380	154793
527	55484	154683
528	55589	154577
529	55692	154466
530	55794	154352
531	55895	154238
532	55996	154120
533	56099	154012
534	56203	153902
535	56304	153785
536	56407	153676
537	56507	153557
538	56607	153438
539	56707	153319
540	56809	153207
541	56915	153105
542	57018	152993
543	57123	152888
544	57228	152785
545	57334	152682
546	57438	152575
547	57542	152465
548	57644	152353
549	57752	152256
550	57855	152146
551	57956	152031
552	58066	151939
553	58171	151834
554	58276	151729
555	58382	151625
556	58488	151523
557	58593	151419
558	58698	151315
559	58839	151301
560	58943	151194
561	59048	151087
562	59155	150987
563	59261	150885
564	59365	150777
565	59491	150726
566	59595	150618
567	59698	150506
568	59820	150444
569	59921	150329
570	60022	150213
571	60122	150094
572	60225	149986
573	60329	149876
574	60431	149764
575	60532	149649
576	60633	149534
577	60732	149414
578	60831	149294
579	60933	149181
580	61032	149061
581	61195	149097
582	61298	148986
583	61407	148891
584	61505	148770
585	61608	148659
586	61710	148547
587	61812	148435
588	61919	148334
589	62021	148220
590	62122	148106
591	62228	148002
592	62334	147899
593	62438	147791
594	62553	147711
595	62660	147609
596	62767	147509
597	62874	147407
598	62977	147297
599	63080	147188
600	63186	147085
601	63292	146981
602	63396	146872
603	63498	146761
604	63603	146656
